@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 8\n','Number of leaves: 55\nSize of the tree: 85\n','Number of leaves: 48\nSize of the tree: 72\n','Number of leaves: 53\nSize of the tree: 80\n','Number of leaves: 58\nSize of the tree: 86\n','Number of leaves: 57\nSize of the tree: 87\n','Number of leaves: 63\nSize of the tree: 91\n','Number of leaves: 54\nSize of the tree: 80\n','Number of leaves: 60\nSize of the tree: 89\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 8\nSize of the tree: 15\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

labor-neg-data,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,37,20,16,4,0,80,20,0,0.56044,0.286008,0.406413,62.489212,85.192244,18.686429,15.026529,3.6599,0.934321,0.751326,0.182995,7.528037,0.376402,799.300195,0.714286,5,0.153846,2,0.846154,11,0.285714,2,0.714286,0.714286,0.714286,0.56044,0.78022,0.610204,0.8,0.23956,0.76044,0.2,0.8,0.8,0.8,0.56044,0.78022,0.743956,0.78022,0.8,0.002,0,0.001888,0.000387,1.888,0.387,4951,9002,6197,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
soybean,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,450,233,209,24,0,89.699571,10.300429,0,0.886806,0.015058,0.089602,15.659719,40.90202,892.813349,2235.017655,-1342.204306,3.831817,9.59235,-5.760534,802.553196,3.444434,20733.651919,1,7,0.030973,7,0.969027,219,0,0,0.5,1,0.666667,0.69607,0.99115,0.7,0.896996,0.011627,0.988373,0.103004,0.911431,0.896996,0.891609,0.887355,0.988515,0.918519,0.890262,0.896996,0.032,0.008,0.029871,0.007952,29.871,7.952,54756,150252,81463,97.854077,8.583691,'Number of leaves: 55\nSize of the tree: 85\n',85,55,55
soybean,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,448,235,212,23,0,90.212766,9.787234,0,0.892294,0.014526,0.085665,15.099182,39.065045,905.557058,1170.973994,-265.416936,3.853434,4.982868,-1.129434,809.461063,3.444515,20974.724622,1,7,0,0,1,228,0,0,1,1,1,1,1,1,0.902128,0.014142,0.985858,0.097872,0.875081,0.902128,0.884515,0.876287,0.989799,0.92766,0.851077,0.902128,0.021,0.006,0.021001,0.004981,21.001,4.981,47914,149618,82097,97.87234,9.204927,'Number of leaves: 48\nSize of the tree: 72\n',72,48,48
soybean,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,449,234,206,28,0,88.034188,11.965812,0,0.868576,0.016211,0.095842,16.852734,43.715693,900.842865,4383.417895,-3482.575029,3.849756,18.732555,-14.882799,804.942582,3.439926,20845.862673,1,7,0.004405,1,0.995595,226,0,0,0.875,1,0.933333,0.933352,0.997797,0.875,0.880342,0.014341,0.985659,0.119658,0.894267,0.880342,0.874388,0.868675,0.984471,0.896955,0.873614,0.880342,0.02,0.003,0.017487,0.003551,17.487,3.551,52202,149935,81780,97.008547,8.974359,'Number of leaves: 53\nSize of the tree: 80\n',80,53,53
soybean,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,452,231,204,27,0,88.311688,11.688312,0,0.871214,0.01677,0.099427,17.440951,45.391495,884.322522,7601.206153,-6716.883632,3.828236,32.905654,-29.077418,776.771766,3.362648,20060.147232,0.666667,4,0,0,1,225,0.333333,2,1,0.666667,0.8,0.812892,1,1,0.883117,0.014544,0.985456,0.116883,0.8859,0.883117,0.875165,0.86746,0.976148,0.889121,0.835004,0.883117,0.025,0.005,0.024496,0.004702,24.496,4.702,55558,150886,80829,95.238095,8.384598,'Number of leaves: 58\nSize of the tree: 86\n',86,58,58
soybean,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,451,232,205,27,0,88.362069,11.637931,0,0.872163,0.015666,0.092431,16.289375,42.181142,890.949734,5451.747361,-4560.797627,3.840301,23.498911,-19.65861,793.952432,3.422209,20535.1243,1,6,0,0,1,226,0,0,1,1,1,1,1,1,0.883621,0.014094,0.985906,0.116379,0.881358,0.883621,0.877358,0.867346,0.983333,0.915973,0.859581,0.883621,0.022,0.004,0.021118,0.003404,21.118,3.404,55912,150569,81146,96.982759,9.664247,'Number of leaves: 57\nSize of the tree: 87\n',87,57,57
soybean,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,451,232,203,29,0,87.5,12.5,0,0.862736,0.017444,0.104748,18.139515,47.804752,890.350545,12965.587684,-12075.23714,3.837718,55.886154,-52.048436,771.769175,3.326591,19956.250283,1,7,0.008889,2,0.991111,223,0,0,0.777778,1,0.875,0.877989,0.999365,0.968254,0.875,0.012454,0.987546,0.125,0.898296,0.875,0.874241,0.86949,0.964133,0.868982,0.852507,0.875,0.024,0.001,0.023195,0.001553,23.195,1.553,55558,150569,81146,93.534483,9.119782,'Number of leaves: 58\nSize of the tree: 86\n',86,58,58
soybean,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,451,232,203,29,0,87.5,12.5,0,0.862317,0.017758,0.101728,18.463265,46.416349,891.984204,11880.442944,-10988.45874,3.844759,51.208806,-47.364046,787.078335,3.392579,20369.357173,1,7,0.004444,1,0.995556,224,0,0,0.875,1,0.933333,0.933333,0.997778,0.875,0.875,0.01754,0.98246,0.125,0.861887,0.875,0.862825,0.851205,0.968606,0.875298,0.860462,0.875,0.019,0.001,0.018188,0.001685,18.188,1.685,55912,150569,81146,95.258621,9.823049,'Number of leaves: 57\nSize of the tree: 87\n',87,57,57
soybean,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,450,233,210,23,0,90.128755,9.871245,0,0.891648,0.014629,0.090189,15.21072,41.151925,894.609351,8656.98156,-7762.372209,3.839525,37.154427,-33.314902,804.450316,3.452576,20805.050726,0.833333,5,0,0,1,227,0.166667,1,1,0.833333,0.909091,0.910867,0.9163,0.837625,0.901288,0.010746,0.989254,0.098712,0.887734,0.901288,0.889606,0.882965,0.976359,0.900439,0.863089,0.901288,0.046,0.002,0.02417,0.002143,24.17,2.143,58448,150252,81463,96.137339,8.583691,'Number of leaves: 63\nSize of the tree: 91\n',91,63,63
soybean,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20161107.1539,450,233,207,26,0,88.841202,11.158798,0,0.877433,0.01583,0.093264,16.461683,42.568663,894.261676,7598.004882,-6703.743205,3.838033,32.609463,-28.77143,788.907303,3.385868,20397.89403,0.571429,4,0.022124,5,0.977876,221,0.428571,3,0.444444,0.571429,0.5,0.486599,0.780973,0.584304,0.888412,0.011019,0.988981,0.111588,0.899905,0.888412,0.88211,0.877478,0.977753,0.89576,0.852032,0.888412,0.012,0.002,0.011284,0.002448,11.284,2.448,52314,150252,81463,95.708155,8.809578,'Number of leaves: 54\nSize of the tree: 80\n',80,54,54
